Chr	start	end	strand	GTEX-1-1.uniq.junction	GTEX-10-1.uniq.junction	GTEX-11-1.uniq.junction	GTEX-12-1.uniq.junction	GTEX-13-1.uniq.junction	GTEX-14-1.uniq.junction	GTEX-15-1.uniq.junction	GTEX-16-1.uniq.junction	GTEX-17-1.uniq.junction	GTEX-18-1.uniq.junction	GTEX-19-1.uniq.junction	GTEX-2-1.uniq.junction	GTEX-20-1.uniq.junction	GTEX-3-1.uniq.junction	GTEX-4-1.uniq.junction	GTEX-5-1.uniq.junction	GTEX-6-1.uniq.junction	GTEX-7-1.uniq.junction	GTEX-8-1.uniq.junction	GTEX-9-1.uniq.junction
1	370000	400000	-	27	46	30	5	34	46	51	90	57	45	89	88	45	32	91	20	88	39	37	13
1	285000	300000	-	57	64	39	88	53	34	87	81	62	91	37	93	98	43	21	78	85	55	63	68
1	260000	280000	-	31	96	69	26	39	81	83	53	43	25	11	25	62	37	73	46	1	64	38	47
1	230000	250000	-	19	81	34	94	26	77	36	35	73	7	95	84	5	42	79	20	11	79	58	96
1	180000	200000	-	65	67	51	7	41	25	5	65	52	90	57	55	49	80	63	88	35	96	65	82
1	150000	200000	-	66	64	55	43	93	51	83	63	42	67	14	98	24	9	78	39	53	21	48	84
1	90000	100000	-	44	107	76	104	80	109	106	105	76	102	74	109	72	107	71	108	104	73	108	78
1	85000	100000	-	34	14	23	12	23	15	10	19	22	19	28	13	27	15	26	17	14	29	17	21
1	80000	100000	-	103	27	69	26	70	29	23	22	64	27	65	24	60	29	64	21	20	69	22	61
1	65000	69000	-	35	99	56	57	38	95	3	82	35	86	31	83	75	27	88	60	61	50	36	49
1	50000	60000	-	69	39	52	70	73	53	21	21	74	54	62	66	96	6	64	9	47	93	83	53
1	50000	53000	-	46	46	100	84	42	50	78	46	86	43	49	76	26	87	73	22	37	32	17	31
1	30000	45000	-	26	55	77	64	5	31	81	17	14	70	88	53	41	85	70	34	66	41	17	78
1	30000	40000	-	28	32	22	68	33	4	74	42	16	23	54	67	65	15	54	47	29	73	83	47
1	30000	32000	-	70	72	29	65	35	16	99	30	86	71	43	55	92	97	81	64	54	4	75	16
1	10000	28000	-	7	7	6	10	6	10	5	10	7	8	8	11	9	5	10	7	8	7	8	5
1	10000	25000	-	18	25	17	27	16	21	16	20	19	24	18	22	20	17	24	19	20	19	23	15
1	10000	20000	-	30	23	35	13	33	21	34	25	30	21	35	24	23	32	22	35	22	33	22	30
